id,name,occupation,contained_in_original_file
841,Гончаров Василий Владимирович,музыкант под псевдонимом «Вася Обломов»,yes
842,Сливяк Владимир Владимирович,"экологический активист, эксперт по атомной энергетике",yes
843,Смагин Никита Анатольевич,"журналист, публицист",yes
844,Сусолкин Константин Александрович,журналист под псевдонимом «Константин Березин»,yes
845,Чернышёв Дмитрий Александрович,блогер под псевдонимом «mi3ch»,yes
846,Зудиева Лутфие Ремзиевна,крымско-татарская журналистка,yes
847,Комин Михаил Олегович,политолог,yes
848,Лученко Ксения Валерьевна,"журналистка, публицистка, филолог",yes
849,Пуркин Дмитрий Николаевич,блогер под псевдонимом «Дед Архимед»,yes
850,Международная общественная организация «Независимая ассоциация врачей»,,no
851,Общественно-политическое движение «Европейский Петербург»,,no
852,«Земский съезд»,сообщество независимых депутатов из разных регионов России,yes
853,Королёв Андрей Владимирович,журналист,yes
854,Некрасов Дмитрий Александрович,"экономист, экс-сотрудник Администрации президента России",yes
855,Пивоваров Юрий Сергеевич,"историк, политолог",yes
856,Рачинский Ян Збигневич,"правозащитник, председатель правления общества «Мемориал»",yes
857,Слабых Игорь Игоревич,"юрист, американист",yes
858,Смирнов Александр Александрович,поэт-перформер под псевдонимом «Александр Дельфинов»,yes
859,Суханов Алексей Станиславович,украинский журналист (ранее — российский),yes
860,Охотин Григорий Никитич,"исследователь, журналист, один из основателей «ОВД-Инфо»",yes
861,Поливанова Александра Владимировна,правозащитница,yes
862,Ракша Алексей Игоревич,"независимый демограф, экс-советник демографических рассчётов Росстата",yes
863,Фельдман Евгений Олегович,"фотограф, фотокорреспондент",yes
864,Черкасов Александр Владимирович,"журналист, правозащитник, экс-председатель совета правозащитного центра «Мемориал»",yes
865,Экслер Алексей Борисович,"писатель, блогер, кинокритик",yes
866,«Москва против мобилизации»,"проект, помогающий людям избежать призыва в армию в случае мобилизации",yes
867,Жемкова Елена Борисовна,"правозащитница, исполнительный директор общества «Мемориал»",yes
868,Калганов Рустам Петрович,"блогер под псевдонимом «Рустам Солнцев», бывший участник проекта «Дом-2»",yes
869,Козловский Олег Юрьевич,правозащитник,yes
870,Кутаев Руслан Махамдиевич,"бывший вице-премьер Чеченской Республики Ичкерия (1996—1997), президент «Ассамблеи народов Кавказа»",yes
871,Пивоваров Андрей Сергеевич,"политик, экс-политический заключённый",yes
872,Секретарёва Наталия Михайловна,юрист из «Мемориала»,yes
873,Фицнер Виолетта Юрьевна,юрист из «Мемориала» и «ОВД-Инфо»,yes
874,Шедов Денис Викторович,"правозащитник, юрист из «Мемориала»",yes
875,Бобринский Николай Алексеевич,"юрист, бывший муниципальный депутат округа Раменки, колумнист «Правмира» и «Meduza»",yes
876,Ванюков Александр Евгеньевич,кардиохирург,yes
877,Гарина Анастасия Игоревна,"правозащитница, экс-глава московского отделения «Комитета против пыток»",yes
878,Соломонов Артур Петрович,"писатель, драматург, журналист, театральный критик",yes
879,Стомахин Борис Владимирович,"публицист, получивший самый большой срок по 280-й и 282-й статьям УК РФ",yes
880,Хмелёв Александр Владимирович,ЛГБТ-активист,yes
881,Шукшин Иван Алексеевич,"веб-программист, член движения «Голос»",yes
882,Медиапроект «Горби медиа»,,no
883,Егорченко Евгений Андреевич,"политический блогер, стример на платформе Twitch под псевдонимом «spb17o3»",yes
884,Звягин Иван Михайлович,"психолог, общественный деятель из Курска",yes
885,Иманова Тамилла Вагиф кызы,"правозащитница, юрист из «Мемориала»",yes
886,Иордатий Дмитрий Николаевич,"рэп-исполнитель под псевдонимами «Наум Блик» и «Dry Ice», сооснователь рэп-группы «EkPlayaz»",yes
887,Клыга Артём Александрович,"юрист, правозащитник",yes
888,Трикоз Евгений Сергеевич,"комик, бывший участник команды КВН «Обычные люди», блогер",yes
889,Елизаров Павел Олегович,"активист, бывший соратник Бориса Немцова",yes
890,Зубарева Раиса Дмитриевна,"активистка, соосновательница фонда «Свободная Якутия»",yes
891,Литвишко Дарья Алексеевна,"журналистка, соавтор YouTube-канала «Разворот»",yes
892,Поташов Валерий Николаевич,журналист «Новой газеты»,yes
893,Росов Николай Вячеславович,"блогер, стример",yes
894,Общественное движение «Наш выход»,общественное движение по поиску и возвращению домой военных ВС РФ,yes
895,Великий Дмитрий Сергеевич,блогер,yes
896,Жарков Василий Павлович,"историк, экс-декан МВШСЭН",yes
897,Кириллова Ксения Валерьевна,журналистка,yes
898,Ольшевец Фелицата Дмитриевна,журналистка под псевдонимом «Маша Майерс»,yes
899,Резник Наталья Рэмовна,"поэтесса, переводчица с английского языка",yes
900,Торстрём Ксения Владимировна,экс-муниципальный депутат округа Семёновский Санкт-Петербурга от партии «Яблоко»,yes
901,Храмцов Дмитрий Александрович,"блогер, бизнесмен",yes
902,Интернет-портал «Activatica.org»,,no
903,Долиев Михаил Вячеславович,политолог,yes
904,Мовчан Андрей Андреевич,"финансист, инвестор",yes
905,Мысина Оксана Анатольевна,"актриса, режиссёр, радиоведущая",yes
906,Сивенок Андрей Александрович,"блогер, журналист",yes
907,Проект «Продолжение следует»,"интернет-проект, рассказывающий о жизни знаменитых людей и их политических взглядах, основанный иноагентом Павлом Каныгиным",yes
908,Кротов Марк Яковлевич,журналист,yes
909,Курмояров Иоанн Валерьевич,экс-иеромонах РПЦ,yes
910,Рудников Игорь Петрович,бывший главный редактор газеты «Новые Колёса» и экс-депутат Калининградской областной думы,yes
911,Солонин Марк Семёнович,"писатель, публицист, видеоблогер, исторический ревизионист",yes
912,«Револьт-Центр»,независимое культурное пространство Сыктыквара,yes
913,Дугарова Раджана Дашинимаевна,"активистка, учёный-антрополог",yes
914,Кордочкин Андрей Борисович,"протоиерей, клирик Испано-Португальской епархии РПЦ",yes
915,Марков Сергей Александрович,"политолог, депутат Государственной думы Российской Федерации V созыва, бывший член Общественной палаты РФ, член ПАСЕ (2007—2011), доверенное лицо Владимира Путина в 2012 году",yes
916,Нюберг Дмитрий Сергеевич,"блогер, стример, музыкант",yes
917,Проект «Алиф ТВ»,"проект, рассказывающий о жизни мусульман в России и странах СНГ",yes
918,Проект «Tamizdatproject.org»,"проект, помогающий эмигрировавшим по политическим причинам студентам и учёным",yes
919,Бобров Юрий Сергеевич,"активист, экс-координатор Пермского штаба Алексея Навального",yes
920,Везикко Ирия Валтеровна,активистка,yes
921,Кривцова Олеся Романовна,"активистка, бывшая студентка САФУ",yes
922,Кротенко Евгений Андреевич,журналист,yes
923,Кузнецов Борис Аврамович,"адвокат, бывший сотрудник уголовного розыска",yes
924,Несмиян Анатолий Евгеньевич,"публицист, блогер под псевдонимом «El Murid»",yes
925,Говорун Сергей Николаевич,"православный монах, богослов, патролог, публицист",yes
926,Ицхоки Олег Евгеньевич,"экономист, профессор Гарвардского университета",yes
927,Смолин Владимир Александрович,журналист,yes
928,Степанова Анна Васильевна,активистка,yes
929,«Компромат 1»,"интернет-проект, публикующий материалы о незаконной деятельности частных лиц и компаний",yes
930,Сетевой проект «Om TV»,"проект, специализирующийся на политических новостях и «острой аналитике»",yes
931,Бороган Ирина Петровна,"журналистка-расследовательница, заместитель главного редактора сайта agentura.ru",yes
932,Куропов Сергей Викторович,"журналист, бывший сотрудник ВГТРК",yes
933,Тополь Эдуард Владимирович,"прозаик, кинорежиссёр, сценарист, драматург под псевдонимом «Эдмон Топельберг»",yes
934,Шумилова Ирина Вадимовна,"левая активистка, феминистка",yes
935,Проект «Обманутый Россиянин»,"YouTube-проект, рассказывающий о тёмной стороне жизни в России",yes
936,Алёхин Роман Юрьевич,"военкор, участник вторжения России в Украину, экс-советник губернатора Курской области",yes
937,Востриков Иван Алексеевич,активист,yes
938,Рыковцева Елена Александровна,журналистка Радио «Свобода»,yes
939,Эрлих Сергей Ефроимович,"молдавский историк, публицист",yes
940,Медиапроект «Avtozak-LIVE»,"проект, освещавший протесты в России и задержания их участников",yes
941,Захватов Дмитрий Игоревич,"адвокат, защищавший феминистскую панк-группу «Pussy Riot»",yes
942,Калитин Андрей Сергеевич,журналист,yes
943,Кудрявцев Демьян Борисович,"медиаменеджер, предприниматель",yes
944,Пронченко Зинаида Сергеевна,"кинокритик, киновед, режиссёр, журналистка",yes
945,Независимая литературная премия «ДАР»,"международная премия в области русской литературы, организованная иноагентом Михаилом Шишкиным",yes
946,Амнуэль Григорий Маркович,"режиссёр, сценарист, продюсер, общественный деятель",yes
947,Овсянникова Марина Владимировна,"бывшая тележурналистка «Первого канала», корреспондент немецкого издания «Die Welt»",yes
948,Солёнова Мария Сергеевна,"бывший муниципальный депутат района Сокол от партии «Яблоко», организатор благотворительных проектов",yes
949,Сетевой проект «I NEWS»,,no
950,Барскова Полина Юрьевна,"поэтесса, филолог",yes
951,Загорье Денис Романович,журналист издания The Barents Observer,yes
952,Садонин Василий Вячеславович,левый блогер,yes
953,Тухватуллин Тимур Артурович,сооснователь правозащитного проекта «Молния»,yes
954,Шевцов Алексей Владиславович,бывший мэр Плёса,yes
955,Медиа-проект «Острый угол»,"независимый общественно-политический YouTube-канал, рассказывающий об истории современной России и её политике",yes
956,Кузьмичёва Ирина Владиславовна,журналистка под псевдонимом «Новик Ирина»,yes
957,Росебашвили Нино Рамазовна,"журналистка, блогер, бывшая сотрудница радиостанции «Эхо Москвы»",yes
958,Сулейманов Руслан Вахидович,востоковед,yes
959,Чернышевский Дмитрий Викторович,"историк, журналист, политический деятель, блогер под псевдонимом «Савромат»",yes
960,Проект «Сердитая Чувашия»,"проект, рассказывающий жителям Чувашской республики о войне в Украине и составляющий список жертв из республики",yes
961,Проект «Усть-Кут24»,"проект, рассказывающий актуальные новости Усть-Кута и Иркутской области в целом",yes
962,Завадская Маргарита Андреевна,"политолог, социолог",yes
963,Золотаревский Борис Михайлович,активист,yes
964,Крисевич Павел Олегович,"общественный деятель, акционист",yes
965,Пичугин Александр Владимирович,журналист,yes
966,Уваров Алексей Константинович,историк,yes
967,Чижов Георгий Львович,политолог,yes
968,Проект «Черта»,"проект, изучающий темы насилия и неравенства в России",yes
969,Форум свободной культуры в Европе «СловоНово»,"независимый фестиваль современной российской культуры, проводимый в Черногории",yes
970,Ениколопов Рубен Сергеевич,"экономист, ректор Российской экономической школы (2018—2022), профессор университета Помпеу Фабра в Испании",yes
971,Костюченко Елена Геннадьевна,"журналистка, писательница, ЛГБТ-активистка",yes
972,Кривошеев Кирилл Сергеевич,"журналист, специалист по постсоветскому пространству, бывший сотрудник издания «Коммерсантъ», автор Фонда Карнеги",yes
973,Общество с ограниченной ответственностью «ФОРПОСТ»,"юридическое лицо, работающее в сфере юридических услуг",yes
974,Заякин Павел Дмитриевич,священник Эстонской евангелическо-лютеранской церкви,yes
975,Литвин Антон Викторович,"художник, медиа-артист, куратор и общественный деятель, политолог и организатор крупных культурных мероприятий чешско-русской направленности",yes
976,Налимова Елена Викторовна,"журналистка, активистка",yes
977,Антидискриминационный центр «Мемориал» («Anti-discrimination center Memorial Brussels» (ADC Memorial),,no
978,Интернет-издание «Аспекты Башкортостана»,"интернет-издание, которое публикует материалы по различным темам, связанным с жизнью Башкортостана",yes
979,Гимранова-Лион Айгуль Ахияровна,руководитель направления культурного развития «Комитета Башкирского национального движения за рубежом»,yes
980,Масхадов Анзор Асланович,"общественный деятель, сын 2-го президента Чеченской Республики Ичкерия Аслана Масхадова",yes
981,Орлова Василина Александровна,"поэтесса, публицистка",yes
982,Савостьянов Евгений Вадимович,"политический деятель, предприниматель",yes
983,Новостной портал «DOXA»,"новостной портал, созданный студентами Высшей школы экономики",yes
984,Канкия Давид Николаевич,координатор движения «Голос» в Краснодарском крае,yes
985,Савельев Александр Валерьевич,журналист издания «Протокол»,yes
986,Маршенкулова Залина Хамидовна,"феминистка, журналистка",yes
987,Янковский Аркадий Эдуардович,"политик, депутат Государственной Думы II созыва",yes
988,Беляева Нина Александровна,экс-депутат Семилукского райсовета Воронежской области,yes
989,Дорохов Владимир Юрьевич,заместитель председателя партии «Яблоко»,yes
990,Ежов Михаил Анатольевич,"музыкант, видеодизайнер",yes
991,Распутин Ярослав Иванович,"ЛГБТ-активист, журналист сайта «Парни Плюс»",yes
992,Степанов Олег Олегович,"политик, координатор московского штаба Алексея Навального",yes
993,Общество с ограниченной ответственностью «Собеседник-Медиа»,общероссийская еженедельная общественно-политическая газета,yes
994,Генис Александр Александрович,"писатель, радиоведущий",yes
995,Гуляев Сергей Владимирович,"журналист, политик, депутат Законодательного собрания Санкт-Петербурга III созыва",yes
996,Урушадзе Георгий Фридонович,"журналист, книгоиздатель",yes
997,Фельштинский Юрий Георгиевич,историк,yes
998,Эткинд Александр Маркович,"культуролог, литературовед",yes
999,Проект «Центр «Досье»,,no
1000,Барановский Алексей Александрович,"журналист, общественный деятель",yes
1001,Волна Андрей Анатольевич,врач-травматолог,yes
1002,Илюхин Сергей Валерьевич,депутат Городского совета Северодвинска,yes
1003,Константинов Даниил Ильич,"политик, юрист, правозащитник",yes
1004,Матвейченков Максим Владимирович,"журналист, экономический обозреватель под псевдонимом «Максим Блант»",yes
1005,Проект «Ateo»,Telegram-канал,yes
1006,Кавказский Николай Юрьевич,"политик, член партии «Яблоко»",yes
1007,Лекманов Олег Андершанович,литературовед,yes
1008,Медведев Артём Павлович,"бизнесмен, активист из Удмуртии",yes
1009,Хардин Антон Александрович,блогер,yes
1010,Интернет-портал «ASTRA»,Telegram-канал,yes
1011,Архангельский Александр Николаевич,"литературовед, публицист",yes
1012,Горбачёв Александр Витальевич,музыкальный журналист,yes
1013,Зуева Анна Сергеевна,"журналистка, блогер",yes
1014,Серёгин Алексей Александрович,журналист,yes
1015,Абдурахманов Тумсо Умалтович,чеченский политический и общественный деятель,yes
1016,Алесин Денис Владимирович,стендап-комик под псевдонимом «Денис Чужой»,yes
1017,Трещанин Дмитрий Евгеньевич,"журналист, редактор «Медиазоны»",yes
1018,Проект «Говорит НеМосква»,,no
1019,Афанасьева Вера Владимировна,"физик, философ, писатель",yes
1020,Ториев Магомед Идрисович,"журналист, правозащитник",yes
1021,Ваганов Вадим Александрович,ЛГБТ-активист,yes
1022,Шеин Олег Васильевич,"общественный и политический деятель, депутат Государственной Думы III, IV, V, VI и VII созывов",yes
1023,Становая Татьяна Анатольевна,политолог,yes
1024,Исследовательский центр «Сова»,,no
1025,Проект «Радио Сахаров»,онлайн-радио и подкаст-платформа команды Сахаровского центра,yes
1026,Марголис Екатерина Леонидовна,"художник, публицист",yes
1027,Осмоловский Анатолий Феликсович,художник,yes
1028,Поночевный Игорь Васильевич,художник под псевдонимом «Алёша Ступин»,yes
1029,Белокиев Ислам Русланович,блогер,yes
1030,Ивлева-Йорк Виктория Марковна,"журналистка, фотограф",yes
1031,Полозов Николай Николаевич,адвокат,yes
1032,Узаров Хасан Ганиевич,блогер под псевдонимом «Хасан Халитов»,yes
1033,Проект «Лаборатория университетской прозрачности»,,no
1034,Беляков Данила Валерьевич,журналист,yes
1035,Ковалёв Алексей Андреевич,журналист,yes
1036,Львов Андрей Генриевич,бывший настоятель храма Серафима Саровского в Иванове,yes
1037,Меньшиков Андрей Владимирович,рэп-исполнитель под псевдонимом «Лигалайз»,yes
1038,Медиа-проект «Страна и мир. Sakharov Review»,,no
1039,Проект «Трансперенси Интернешнл-Россия в изгнании»,,no
1040,Кирия Ксения Дмитриевна,"журналистка, телеведущая, сотрудница радиостанции «Голос Америки»",yes
1041,Козенко Андрей Дмитриевич,журналист,yes
1042,Лотарева Анастасия Александровна,экс-главный редактор «Таких дел»,yes
1043,Прокопенко Александра Сергеевна,"журналистка, эксперт по российской экономической политике",yes
1044,Ромалийская Ирина Геннадьевна,журналистка телеканала «Настоящее время»,yes
1045,Рубин Антон Борисович,"журналист, соавтор YouTube-канала «Разворот»",yes
1046,Проект «Идите лесом»,"проект, помогающий уклоняться от мобилизации в России",yes
1047,Общество с ограниченной ответственностью «АЛАЯ БУКВА»,,no
1048,Барбашин Антон Игоревич,политический аналитик,yes
1049,Ившина Ольга Яковлевна,журналистка «Би-би-си»,yes
1050,Климов Максим Евгеньевич,экс-глава белгородского штаба Алексея Навального,yes
1051,Лешкевич Владислав Валерьевич,рэп-исполнитель под псевдонимом «Влади»,yes
1052,Продайвода Алексей Владимирович,"украинский журналист «Настоящего времени», военный корреспондент",yes
1053,Федоровых Арина Эдуардовна,журналистка «Настоящего времени»,yes
1054,Проект «Поддержка политзаключённых. Мемориал»,,no
1055,Абишев Илья Еркенович,корреспондент «Русской службы Би-би-си»,yes
1056,Зицер Вадим Семёнович,"педагог-практик, писатель, журналист под псевдонимом «Дима Зицер»",yes
1057,Новашов Андрей Валерьевич,"журналист, автор в журнале «Театр»",yes
1058,Раевский Владимир Евгеньевич,"журналист, теле- и радиоведущий, продюсер",yes
1059,Суворкин Антон Владимирович,эстонский блогер под псевдонимом «Anton S»,yes
1060,Сухарев Дмитрий Вадимович,журналист-расследователь,yes
1061,Фохт-Бабушкина Елизавета Антоновна,продюсер «Русской службы Би-би-си»,yes
1062,Бусыгина Ирина Марковна,"политолог, профессор НИУ ВШЭ",yes
1063,Голубева Анастасия Павловна,журналистка «Русской службы Би-би-си»,yes
1064,Осипова Светлана Витальевна,журналистка Радио «Свобода»,yes
1065,Панюшкин Валерий Валерьевич,"журналист, литератор, теле- и радиоведущий, сценарист",yes
1066,Шевченко Анастасия Нукзариевна,"журналистка, первый осуждённый по делу об участии в нежелательной организации человек",yes
1067,Шейтельман Михаил,"политтехнолог, бывший советник Бориса Березовского",yes
1068,Проект «Зона солидарности»,,no
1069,Ауслендер Сергей Дмитриевич,израильский военный журналист,yes
1070,Бондарев Борис Анатольевич,"дипломат, бывший сотрудник МИД России",yes
1071,Гудков Лев Дмитриевич,"социолог, преподаватель ВШЭ, ВШЕК при РГГУ, МВШСЭН",yes
1072,Кунгуров Алексей Анатольевич,"журналист, писатель, политтехнолог",yes
1073,Парменов Никита Владимирович,журналист,yes
1074,Агалакова Жанна Леонидовна,"журналистка, бывшая ведущая НТВ и «Первого канала»",yes
1075,Адагамов Рустем Ринатович,блогер под псевдонимом «drugoi»,yes
1076,Азар Илья Вильямович,"журналист, бывший специальный корреспондент интернет-изданий «Lenta.ru» и «Meduza»",yes
1077,Александрова-Зорина Елизавета Борисовна,"писательница, публицист, блогер, бывший колумнист газеты «Московский комсомолец»",yes
1078,Лирник Антон Анатольевич,"украинский актёр, шоумен, телеведущий",yes
1079,Гатов Василий Викторович,журналист и медиаэксперт,yes
1080,Жирнов Сергей Олегович,"экс-офицер КГБ СССР, писатель, журналист",yes
1081,Климов Антон Михайлович,экс-муниципальный депутат Ленинградской области,yes
1082,Левшиц Николай Дмитриевич,автор русскоязычного Telegram-канала о Грузии,yes
1083,Хашиг Инал Николаевич,"абхазский журналист, политолог и общественный деятель, главный редактор газеты «Чегемская правда»",yes
1084,Аксёнов Андрей Николаевич,"историк, журналист",yes
1085,Боссарт Алла Борисовна,"писательница, поэтесса, журналистка",yes
1086,Обухов Герман Викторович,"американский общественный и политический деятель, политический заключённый в СССР",yes
1087,Аршба Низфа Дарисмановна,абхазская журналистка,yes
1088,Балунов Александр Валентинович,"рок-музыкант под псевдонимом «Балу», один из основателей хоррор-панк группы «Король и Шут»",yes
1089,Вырыпаев Иван Александрович,"режиссёр театра и кино, актёр, сценарист",yes
1090,Комиссаров Станислав Андреевич,уличный художник под псевдонимом «Слава ПТРК»,yes
1091,Чаниа Изида Терентьевна,"абхазская журналистка, главный редактор «Нужной газеты»",yes
1092,Шишкин Михаил Павлович,писатель-прозаик,yes
1093,Бровков Артём Андреевич,"диджей, музыкант под псевдонимом «Fuze Krec», участник хип-хоп проекта Krec",yes
1094,Черепанова Ксения Фёдоровна,председатель городского отделения партии «Яблоко» в Великом Новгороде,yes
1095,Шмурнов Александр Иванович,спортивный журналист и комментатор,yes
1096,Щербакова Ирина Лазаревна,"правозащитница, историк Нового времени, публицистка",yes
1097,Интернет-проект «Объектив»,,no
1098,Барабаш Екатерина Юрьевна,"журналистка, кинокритик",yes
1099,Губанов Алексей Александрович,"блогер, стример на платформе Twitch под псевдонимом «JesusAVGN»",yes
1100,Лушников Алексей Германович,"телеведущий, публицист, политический аналитик",yes
1101,Толстой Святослав Георгиевич,рок-музыкант под псевдонимом «Слава Толстой»,yes
1102,Издание «Гласная»,"социальный журналистский проект на русском языке, чьи публикации направлены на преодоление стереотипов и продвижение гендерного равноправия в российском обществе",yes
1103,Каретникова Анна Георгиевна,правозащитница,yes
1104,Козырев Андрей Владимирович,1-й министр иностранных дел Российской Федерации (1990–1996),yes
1105,Счастливая Дарья Владимировна,украинская журналистка,yes
1106,Эппле Николай Владимирович,литературный критик,yes
1107,Общественно-политическое движение «Удмуртия против коррупции»,,no
1108,Баблоян Ирина Арамовна,"журналистка, экс-ведущая радиостанции «Эхо Москвы»",yes
1109,Чистякова Мария Владимировна,блогер под псевдонимом «Мари Говори»,yes
1110,Ширяев Вячеслав Эдуардович,"предприниматель, продюсер, сценарист, режиссёр, журналист",yes
1111,Шпак Александр Константинович,фрик-блогер,yes
1112,Гончаров Василий Владимирович,музыкант под псевдонимом «Вася Обломов»,yes
1113,Сливяк Владимир Владимирович,"экологический активист, эксперт по атомной энергетике",yes
1114,Смагин Никита Анатольевич,"журналист, публицист",yes
1115,Сусолкин Константин Александрович,журналист под псевдонимом «Константин Березин»,yes
1116,Чернышёв Дмитрий Александрович,блогер под псевдонимом «mi3ch»,yes
1117,Зудиева Лутфие Ремзиевна,крымско-татарская журналистка,yes
1118,Комин Михаил Олегович,политолог,yes
1119,Лученко Ксения Валерьевна,"журналистка, публицистка, филолог",yes
1120,Пуркин Дмитрий Николаевич,блогер под псевдонимом «Дед Архимед»,yes
1121,Международная общественная организация «Независимая ассоциация врачей»,,no
